team,Avg Points Per Game,Avg Poss Per Game
Loyola Chicago Ramblers,73.42,70.79
Loyola Maryland Greyhounds,64.55,67.54
Loyola Marymount Lions,72.47,67.68
Loyola New Orleans Wolfpack,54.0,67.03
Maine Black Bears,67.94,70.0
Manhattan Jaspers,66.48,71.53
Marist Red Foxes,64.77,66.63
Marquette Golden Eagles,78.94,70.64
Marshall Thundering Herd,74.09,73.68
Maryland Eastern Shore Hawks,62.38,67.4
Maryland Terrapins,69.44,68.25
Massachusetts Minutemen,78.07,70.74
McNeese Cowboys,80.06,68.76
Memphis Tigers,81.0,74.1
Mercer Bears,71.59,68.55
Merrimack Warriors,69.88,70.85
Miami (OH) RedHawks,70.84,70.05
Miami Hurricanes,76.1,71.38
Michigan State Spartans,73.47,67.97
Michigan Wolverines,73.45,71.1
Mid-America Christian Evangels,69.0,69.38
Mid-Atlantic Christian Mustangs,46.33,76.42
Middle Tennessee Blue Raiders,66.03,68.89
Midway University Eagles,61.4,71.3
Milwaukee Panthers,79.59,73.31
Minnesota Golden Gophers,75.68,69.38
Mississippi State Bulldogs,75.03,70.52
Mississippi University For Women Owls,60.0,71.35
Mississippi Valley State Delta Devils,55.07,67.65
Missouri Baptist Spartans,62.0,74.91
Missouri State Bears,71.62,70.34
Missouri Tigers,72.58,70.23
Mobile Rams,83.0,75.31
Monmouth Hawks,72.84,69.16
Montana Grizzlies,77.42,68.34
Montana State Bobcats,74.82,71.59
Montreat Cavaliers,50.0,73.42
Morehead State Eagles,75.67,67.41
Morgan State Bears,72.93,73.51
Mount Marty College Lancers,59.5,72.36
Mount Olive Trojans,66.0,84.49
Mount St. Mary's Mountaineers,73.1,71.61
Murray State Racers,70.87,66.88
NC State Wolfpack,76.14,70.61
NJIT Highlanders,67.41,69.42
Navy Midshipmen,66.63,67.39
Nebraska Cornhuskers,77.28,71.29
Nevada Wolf Pack,76.38,68.59
New Hampshire Wildcats,74.63,74.64
New Mexico Lobos,82.12,71.92
New Mexico State Aggies,67.65,70.75
New Orleans Privateers,74.06,75.34
Niagara Purple Eagles,72.9,69.86
Nicholls Colonels,73.82,71.55
Norfolk State Spartans,74.31,70.15
North Alabama Lions,76.65,71.38
North American Stallions,70.5,84.04
North Carolina A&T Aggies,65.68,69.13
North Carolina Central Eagles,77.23,71.47
North Carolina Tar Heels,81.64,72.89
North Dakota Fighting Hawks,75.35,69.23
North Dakota State Bison,75.16,69.56
North Florida Ospreys,77.35,71.23
North Greenville Crusaders,63.5,78.96
North Texas Mean Green,69.03,64.48
Northeastern Huskies,69.55,66.9
Northern Arizona Lumberjacks,68.91,70.67
Northern Colorado Bears,80.39,73.36
Northern Illinois Huskies,73.03,72.07
Northern Iowa Panthers,73.28,69.39
Northern Kentucky Norse,74.84,71.73
Northern New Mexico Eagles,62.33,74.88
Northwest Indian RedHawks,63.0,78.35
Northwest University Eagles,51.0,73.56
Northwestern State Demons,70.74,72.28
Northwestern Wildcats,74.1,66.84
Notre Dame Fighting Irish,64.19,66.59
Oakland City Mighty Oaks,49.0,75.49
Oakland Golden Grizzlies,76.21,70.34
Occidental Tigers,51.0,75.14
Ohio Bobcats,77.78,70.21
Ohio State Buckeyes,74.94,68.32
Oklahoma Sooners,75.55,69.9
Oklahoma State Cowboys,71.29,69.94
Old Dominion Monarchs,70.48,72.76
Ole Miss Rebels,75.06,69.54
Omaha Mavericks,74.31,69.71
Oral Roberts Golden Eagles,73.73,70.46
Oregon Ducks,75.33,70.39
Oregon State Beavers,69.26,69.61
Pacific Tigers,65.42,70.9
Paul Quinn Tigers,59.5,81.34
Penn State - Wilkes-Barre Mountain Lions,55.0,84.77
Penn State Nittany Lions,75.59,71.9
